id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude,area_type
81,Comfortable Home in Hauz Khas,Pooja Kapoor,Hauz Khas,Private room,2500,1,31,0.75,294,28.546304,77.200677,Green & Peaceful
82,Private Room near Vasant Kunj,Aditya Bansal,Vasant Kunj,Entire home/apt,3200,1,11,1.11,244,28.512922,77.154096,Developed Residential
83,Private Room near Uttam Nagar,Vikas Yadav,Uttam Nagar,Private room,1250,2,34,0.97,155,28.632456,77.078793,Dense/Chawl-type Area
84,Modern Stay near Noida Sector 75,Manish Singh,Noida Sector 75,Hotel room,2000,3,4,0.05,176,28.563171,77.382963,Developed Residential
85,Budget Stay around Vasant Kunj,Priya Agarwal,Vasant Kunj,Entire home/apt,2900,1,31,0.53,298,28.523216,77.157703,Developed Residential
86,Budget Stay around Vikaspuri,Sanjay Malhotra,Vikaspuri,Entire home/apt,2500,14,74,1.37,155,28.634406,77.073332,Developed Residential
87,Cozy Connaught Place Studio,Shreya Mishra,Connaught Place,Entire home/apt,4000,7,86,0.26,152,28.635298,77.217918,Market Area
88,Budget Stay around Vikaspuri,Priya Sharma,Vikaspuri,Private room,1150,1,23,0.69,256,28.644502,77.064897,Developed Residential
89,Modern Stay near Karol Bagh,Riya Yadav,Karol Bagh,Entire home/apt,2600,1,31,1.51,155,28.652743,77.190601,Market Area
90,Peaceful Retreat near Old Delhi,Vikas Singh,Old Delhi,Private room,1500,4,81,0.14,227,28.658033,77.237598,Dense/Chawl-type Area
91,Comfortable Home in Noida Sector 75,Megha Mehta,Noida Sector 75,Private room,1650,4,69,1.04,189,28.56888,77.396239,Developed Residential
92,City Stay - Lajpat Nagar,Manish Gupta,Lajpat Nagar,Private room,1650,4,26,0.44,207,28.56824,77.24782,Market Area
93,Modern Stay near Dwarka,Shreya Singh,Dwarka,Private room,1400,1,39,1.33,262,28.59322,77.043321,Developed Residential
94,Premium Stay - Mehrauli,Shreya Yadav,Mehrauli,Private room,1600,1,4,0.91,239,28.521345,77.184714,Dense/Chawl-type Area
95,Premium Stay - Gurgaon DLF Phase 2,Priya Sharma,Gurgaon DLF Phase 2,Private room,1900,2,7,0.16,272,28.486731,77.103863,Market Area
96,Peaceful Retreat near Chattarpur,Amit Verma,Chattarpur,Hotel room,2400,7,10,0.12,362,28.505726,77.17646,Green & Peaceful
97,Private Room near Noida Sector 137,Ankit Malhotra,Noida Sector 137,Entire home/apt,1900,4,88,0.58,248,28.51676,77.408645,Developed Residential
98,Budget Stay around Uttam Nagar,Varun Singh,Uttam Nagar,Entire home/apt,2050,2,47,0.59,133,28.623759,77.056415,Dense/Chawl-type Area
99,Budget Stay around Greater Kailash,Rohit Gupta,Greater Kailash,Private room,3000,1,17,0.29,5,28.555141,77.231438,Developed Residential
100,City Stay - Noida Sector 75,Amit Malhotra,Noida Sector 75,Private room,1550,1,19,2.09,202,28.566674,77.389161,Developed Residential
101,Budget Stay around Connaught Place,Shreya Kumar,Connaught Place,Private room,2750,1,17,0.16,178,28.637433,77.22044,Market Area
102,Private Room near South Extension,Megha Agarwal,South Extension,Entire home/apt,4000,3,15,1.53,239,28.573971,77.223511,Market Area
103,City Stay - Connaught Place,Rahul Singh,Connaught Place,Private room,3550,2,37,1.46,223,28.625311,77.213524,Market Area
104,Family Home in Gurgaon DLF Phase 2,Pooja Sharma,Gurgaon DLF Phase 2,Private room,4000,3,29,0.14,258,28.478456,77.085988,Market Area
105,Bright Apartment in Noida Sector 75,Megha Sharma,Noida Sector 75,Private room,1450,1,94,0.53,304,28.567368,77.399685,Developed Residential
106,Family Home in Noida Sector 75,Rohit Sharma,Noida Sector 75,Shared room,750,2,19,0.67,85,28.564247,77.391375,Developed Residential
107,Premium Stay - Gurgaon Cyber City,Varun Kapoor,Gurgaon Cyber City,Shared room,1700,7,17,0.43,316,28.49406,77.095374,Corporate/Developed Area
108,Premium Stay - Dwarka,Ankit Sharma,Dwarka,Entire home/apt,2250,1,41,0.81,86,28.589294,77.048079,Developed Residential
109,Comfortable Home in Ghaziabad Vaishali,Neha Mishra,Ghaziabad Vaishali,Entire home/apt,2350,1,8,0.08,164,28.64397,77.342124,Market Area
110,Modern Stay near Lajpat Nagar,Neha Bansal,Lajpat Nagar,Entire home/apt,3350,2,77,0.59,328,28.566146,77.242122,Market Area
111,Modern Stay near Chattarpur,Vikas Malhotra,Chattarpur,Entire home/apt,3150,1,33,0.77,197,28.502467,77.175056,Green & Peaceful
112,Family Home in Saket,Aditya Singh,Saket,Hotel room,3200,4,45,0.03,365,28.531049,77.200361,Developed Residential
113,Family Home in South Extension,Simran Sharma,South Extension,Private room,2250,4,114,0.85,252,28.568415,77.23172,Market Area
114,Family Home in Uttam Nagar,Neha Malhotra,Uttam Nagar,Private room,1000,7,34,0.15,268,28.633801,77.058122,Dense/Chawl-type Area
115,Bright Apartment in Defence Colony,Aditya Kapoor,Defence Colony,Private room,2750,4,41,1.36,248,28.562491,77.225498,Green & Peaceful
116,Bright Apartment in Mahipalpur,Arjun Singh,Mahipalpur,Private room,1450,1,52,0.48,107,28.542222,77.12036,Dense/Chawl-type Area
117,Budget Stay around Paharganj,Vikas Kumar,Paharganj,Private room,1200,1,2,1.38,300,28.631305,77.208902,Dense/Chawl-type Area
118,City Stay - Noida Sector 75,Rahul Agarwal,Noida Sector 75,Private room,1450,1,31,1.23,31,28.576306,77.392383,Developed Residential
119,Modern Stay near Noida Sector 18,Shreya Chauhan,Noida Sector 18,Private room,2200,1,40,0.21,178,28.565577,77.320094,Market Area
120,Family Home in Mehrauli,Amit Mehta,Mehrauli,Private room,1150,2,44,0.25,54,28.5278,77.17969,Dense/Chawl-type Area
121,Modern Stay near Lajpat Nagar,Aditya Verma,Lajpat Nagar,Private room,1700,2,41,0.43,257,28.564226,77.243682,Market Area
122,Premium Stay - Uttam Nagar,Megha Singh,Uttam Nagar,Hotel room,1750,5,43,0.65,81,28.616537,77.060843,Dense/Chawl-type Area
123,Bright Apartment in Gurgaon DLF Phase 2,Arjun Gupta,Gurgaon DLF Phase 2,Entire home/apt,3900,2,78,0.19,365,28.483146,77.091591,Market Area
124,Peaceful Retreat near Noida Sector 75,Neha Jain,Noida Sector 75,Entire home/apt,2950,2,97,1.24,44,28.563178,77.398835,Developed Residential
125,Comfortable Home in Karol Bagh,Sanjay Kumar,Karol Bagh,Private room,1800,1,98,0.25,108,28.647881,77.189515,Market Area
126,Premium Stay - Dwarka,Shreya Mishra,Dwarka,Entire home/apt,2450,2,54,0.63,365,28.599466,77.038742,Developed Residential
127,Premium Stay - Faridabad Sector 15,Karan Bansal,Faridabad Sector 15,Private room,1600,2,44,0.68,212,28.402956,77.321576,Developed Residential
128,Premium Stay - Dwarka,Amit Agarwal,Dwarka,Entire home/apt,3450,1,24,0.27,71,28.599379,77.04685,Developed Residential
129,Modern Stay near Dwarka,Karan Jain,Dwarka,Private room,1800,1,24,0.76,295,28.585676,77.040662,Developed Residential
130,Modern Stay near Paharganj,Rahul Kumar,Paharganj,Entire home/apt,2200,1,55,1.84,97,28.644764,77.218031,Dense/Chawl-type Area
131,Premium Stay - Faridabad Sector 15,Priya Saini,Faridabad Sector 15,Private room,1250,1,29,0.55,235,28.405857,77.316382,Developed Residential
132,City Stay - Karol Bagh,Rahul Kumar,Karol Bagh,Entire home/apt,2150,7,81,0.36,223,28.65125,77.195607,Market Area
133,Bright Apartment in Vikaspuri,Simran Singh,Vikaspuri,Private room,1450,1,8,0.25,187,28.641047,77.070324,Developed Residential
134,City Stay - Karol Bagh,Pooja Agarwal,Karol Bagh,Entire home/apt,1600,1,40,0.67,83,28.650119,77.199644,Market Area
135,City Stay - Green Park,Deepak Mehta,Green Park,Hotel room,3350,14,24,0.25,176,28.559594,77.201628,Green & Peaceful
136,Budget Stay around Faridabad Sector 15,Rohit Verma,Faridabad Sector 15,Private room,950,2,63,0.15,185,28.400699,77.316451,Developed Residential
137,Cozy Paharganj Studio,Arjun Sharma,Paharganj,Entire home/apt,2350,3,57,0.26,5,28.649979,77.208221,Dense/Chawl-type Area
138,Comfortable Home in Saket,Riya Yadav,Saket,Private room,1950,2,31,0.13,201,28.523362,77.21687,Developed Residential
139,Private Room near Paharganj,Arjun Gupta,Paharganj,Entire home/apt,2750,5,27,0.23,303,28.635205,77.21056,Dense/Chawl-type Area
140,Budget Stay around Noida Sector 62,Megha Saini,Noida Sector 62,Entire home/apt,2650,2,63,0.55,280,28.627192,77.360379,Corporate/Developed Area
141,Modern Stay near Saket,Megha Sharma,Saket,Private room,3150,1,36,0.31,222,28.519585,77.214393,Developed Residential
142,Comfortable Home in Mehrauli,Neha Jain,Mehrauli,Entire home/apt,2700,1,73,0.55,137,28.530476,77.180959,Dense/Chawl-type Area
143,Bright Apartment in Uttam Nagar,Megha Sharma,Uttam Nagar,Entire home/apt,1600,2,26,0.63,365,28.632734,77.075796,Dense/Chawl-type Area
144,Comfortable Home in Gurgaon Sector 47,Aditya Kapoor,Gurgaon Sector 47,Private room,2000,1,42,0.25,83,28.440837,77.037381,Developed Residential
145,Cozy Ghaziabad Indirapuram Studio,Manish Gupta,Ghaziabad Indirapuram,Entire home/apt,2100,5,25,0.84,149,28.646025,77.366118,Developed Residential
146,Cozy Rajendra Place Studio,Karan Chauhan,Rajendra Place,Private room,2100,2,56,0.57,207,28.644398,77.174092,Developed Residential
147,Peaceful Retreat near Noida Sector 18,Sanjay Singh,Noida Sector 18,Entire home/apt,3750,3,32,0.53,365,28.581668,77.329741,Market Area
148,Premium Stay - Noida Sector 75,Priya Chauhan,Noida Sector 75,Private room,1400,2,46,0.83,116,28.566746,77.383897,Developed Residential
149,Comfortable Home in Noida Sector 18,Manish Bansal,Noida Sector 18,Entire home/apt,4000,2,43,1.06,147,28.562101,77.319362,Market Area
150,Comfortable Home in Saket,Vikas Mishra,Saket,Entire home/apt,3150,3,4,1.24,315,28.520962,77.207687,Developed Residential
151,Budget Stay around Old Delhi,Ankit Jain,Old Delhi,Private room,1100,1,93,1.7,302,28.659755,77.23667,Dense/Chawl-type Area
152,Bright Apartment in Old Delhi,Amit Gupta,Old Delhi,Entire home/apt,1750,1,72,0.24,5,28.661006,77.229409,Dense/Chawl-type Area
153,Peaceful Retreat near Karol Bagh,Manish Yadav,Karol Bagh,Entire home/apt,2200,1,52,0.16,365,28.649302,77.19227,Market Area
154,Modern Stay near Karol Bagh,Arjun Gupta,Karol Bagh,Private room,2000,2,3,0.09,93,28.652245,77.180089,Market Area
155,Cozy Mehrauli Studio,Nisha Mishra,Mehrauli,Hotel room,2000,4,5,0.66,154,28.517832,77.18519,Dense/Chawl-type Area
156,Peaceful Retreat near Greater Kailash,Varun Singh,Greater Kailash,Private room,1650,3,28,0.58,100,28.553596,77.245362,Developed Residential
157,City Stay - Ghaziabad Vaishali,Shreya Chauhan,Ghaziabad Vaishali,Entire home/apt,2250,1,27,0.36,239,28.647177,77.348409,Market Area
158,Cozy Gurgaon DLF Phase 2 Studio,Vikas Singh,Gurgaon DLF Phase 2,Entire home/apt,3750,1,31,0.48,97,28.484421,77.094312,Market Area
159,Bright Apartment in Hauz Khas,Pooja Malhotra,Hauz Khas,Private room,2500,7,48,0.07,154,28.542738,77.203502,Green & Peaceful
160,Modern Stay near Janakpuri,Arjun Mishra,Janakpuri,Private room,1600,1,42,0.3,153,28.623103,77.094692,Developed Residential
161,Premium Stay - Dwarka,Arjun Chauhan,Dwarka,Entire home/apt,2900,1,54,0.2,213,28.584502,77.045652,Developed Residential
162,Premium Stay - Ghaziabad Indirapuram,Nisha Agarwal,Ghaziabad Indirapuram,Private room,1300,1,120,0.22,212,28.639903,77.379249,Developed Residential
163,Modern Stay near Green Park,Riya Sharma,Green Park,Private room,2150,1,15,0.48,359,28.557337,77.209068,Green & Peaceful
164,Family Home in Rajendra Place,Arjun Gupta,Rajendra Place,Hotel room,2450,5,16,0.16,204,28.639442,77.184891,Developed Residential
165,Modern Stay near Gurgaon DLF Phase 2,Arjun Sharma,Gurgaon DLF Phase 2,Hotel room,3650,1,7,1.58,307,28.484592,77.094849,Market Area
166,Bright Apartment in Dwarka,Simran Malhotra,Dwarka,Entire home/apt,3150,1,53,0.35,250,28.590091,77.043578,Developed Residential
167,Family Home in Lajpat Nagar,Riya Malhotra,Lajpat Nagar,Shared room,1050,2,44,0.45,339,28.56929,77.24303,Market Area
168,Budget Stay around Mahipalpur,Deepak Verma,Mahipalpur,Private room,1100,1,25,1.51,226,28.549966,77.126881,Dense/Chawl-type Area
169,City Stay - Lajpat Nagar,Aditya Singh,Lajpat Nagar,Private room,1950,3,81,1.14,193,28.567153,77.22986,Market Area
170,Budget Stay around Noida Sector 62,Rohit Saini,Noida Sector 62,Entire home/apt,2950,4,14,0.26,165,28.636692,77.362966,Corporate/Developed Area
171,Premium Stay - Uttam Nagar,Amit Kapoor,Uttam Nagar,Private room,1250,2,22,0.18,235,28.631168,77.058272,Dense/Chawl-type Area
172,Budget Stay around Greater Kailash,Pooja Chauhan,Greater Kailash,Entire home/apt,3850,4,48,1.18,301,28.542998,77.233934,Developed Residential
173,Bright Apartment in Hauz Khas,Neha Agarwal,Hauz Khas,Entire home/apt,4000,4,37,0.72,310,28.551036,77.204002,Green & Peaceful
174,Modern Stay near Janakpuri,Simran Chauhan,Janakpuri,Entire home/apt,1850,4,1,0.54,198,28.618688,77.087257,Developed Residential
175,City Stay - Gurgaon Golf Course Road,Karan Kapoor,Gurgaon Golf Course Road,Shared room,2150,1,21,0.78,263,28.464832,77.096839,Developed Residential
176,Budget Stay around Chattarpur,Manish Chauhan,Chattarpur,Private room,1900,2,17,0.04,176,28.499678,77.168593,Green & Peaceful
177,Comfortable Home in Gurgaon Golf Course Road,Karan Kapoor,Gurgaon Golf Course Road,Entire home/apt,4000,5,102,0.4,188,28.459999,77.097197,Developed Residential
178,Budget Stay around Faridabad Sector 15,Pooja Malhotra,Faridabad Sector 15,Private room,1100,4,33,0.54,265,28.410037,77.323806,Developed Residential
179,Family Home in Dwarka,Ankit Bansal,Dwarka,Entire home/apt,2400,3,3,0.39,295,28.599431,77.056497,Developed Residential
180,Premium Stay - Gurgaon Cyber City,Karan Malhotra,Gurgaon Cyber City,Entire home/apt,3950,1,33,0.62,218,28.495262,77.09917,Corporate/Developed Area
181,City Stay - Uttam Nagar,Amit Kumar,Uttam Nagar,Entire home/apt,1500,2,8,0.3,139,28.622679,77.052593,Dense/Chawl-type Area
182,Family Home in South Extension,Pooja Malhotra,South Extension,Private room,2150,2,17,0.98,150,28.557349,77.22039,Market Area
183,Bright Apartment in Ghaziabad Indirapuram,Simran Agarwal,Ghaziabad Indirapuram,Entire home/apt,2250,1,16,0.98,207,28.638605,77.367083,Developed Residential
184,Private Room near Paharganj,Shreya Mehta,Paharganj,Entire home/apt,2500,3,27,0.88,153,28.641902,77.213881,Dense/Chawl-type Area
185,Private Room near Aerocity,Pooja Kapoor,Aerocity,Entire home/apt,4000,1,62,0.03,136,28.563828,77.081054,Developed Residential
186,Modern Stay near Greater Kailash,Ankit Agarwal,Greater Kailash,Entire home/apt,4000,2,27,1.04,40,28.553249,77.239399,Developed Residential
187,Family Home in Vikaspuri,Karan Kapoor,Vikaspuri,Private room,1300,5,42,0.13,215,28.627817,77.066127,Developed Residential
188,Peaceful Retreat near Old Delhi,Riya Verma,Old Delhi,Private room,900,3,55,0.64,285,28.649038,77.237515,Dense/Chawl-type Area
189,Peaceful Retreat near Mehrauli,Karan Singh,Mehrauli,Private room,1950,4,26,0.39,282,28.513486,77.192527,Dense/Chawl-type Area
190,Cozy Vikaspuri Studio,Rahul Sharma,Vikaspuri,Private room,1250,1,90,0.17,164,28.645862,77.078374,Developed Residential
191,Family Home in Connaught Place,Vikas Mehta,Connaught Place,Entire home/apt,3400,2,15,0.25,128,28.634044,77.213857,Market Area
192,Budget Stay around Dwarka,Neha Mehta,Dwarka,Hotel room,2350,1,10,0.32,33,28.58997,77.045439,Developed Residential
193,Budget Stay around Noida Sector 137,Aditya Singh,Noida Sector 137,Private room,1550,4,29,0.63,91,28.514858,77.415395,Developed Residential
194,Peaceful Retreat near Gurgaon Sector 47,Varun Malhotra,Gurgaon Sector 47,Private room,3300,2,11,0.19,85,28.42331,77.044367,Developed Residential
195,Cozy Connaught Place Studio,Rahul Agarwal,Connaught Place,Private room,3100,1,125,0.18,309,28.64325,77.209323,Market Area
