id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude,area_type,state,adjusted_price,review_scores_rating,cleanliness_rating,distance_to_metro_km,amenities_count,host_is_superhost,instant_bookable,greenery_score
81,Comfortable Home in Hauz Khas,Pooja Kapoor,Hauz Khas,Private room,2500,1,31,0.75,294,28.546304,77.200677,Green & Peaceful,Delhi,2250,4.84,3.7,0.29,16,t,f,9.2
82,Private Room near Vasant Kunj,Aditya Bansal,Vasant Kunj,Entire home/apt,3200,1,11,1.11,244,28.512922,77.154096,Developed Residential,Delhi,5120,4.55,4.8,0.33,15,f,t,8.2
83,Private Room near Uttam Nagar,Vikas Yadav,Uttam Nagar,Private room,1250,2,34,0.97,155,28.632456,77.078793,Dense/Chawl-type Area,Delhi,1125,4.2,4.3,2.38,12,f,t,6.9
84,Modern Stay near Noida Sector 75,Manish Singh,Noida Sector 75,Hotel room,2000,3,4,0.05,176,28.563171,77.382963,Developed Residential,Uttar Pradesh,2600,3.88,4.2,0.53,10,f,f,5.8
85,Budget Stay around Vasant Kunj,Priya Agarwal,Vasant Kunj,Entire home/apt,2900,1,31,0.53,298,28.523216,77.157703,Developed Residential,Delhi,4640,4.17,4.4,0.46,6,f,f,6.8
86,Budget Stay around Vikaspuri,Sanjay Malhotra,Vikaspuri,Entire home/apt,2500,14,74,1.37,155,28.634406,77.073332,Developed Residential,Delhi,4000,4.19,4.4,1.04,23,f,f,6.9
87,Cozy Connaught Place Studio,Shreya Mishra,Connaught Place,Entire home/apt,4000,7,86,0.26,152,28.635298,77.217918,Market Area,Delhi,6400,4.68,3.6,1.96,24,f,f,8.6
88,Budget Stay around Vikaspuri,Priya Sharma,Vikaspuri,Private room,1150,1,23,0.69,256,28.644502,77.064897,Developed Residential,Delhi,1035,4.57,4.5,0.28,24,f,t,8.2
89,Modern Stay near Karol Bagh,Riya Yadav,Karol Bagh,Entire home/apt,2600,1,31,1.51,155,28.652743,77.190601,Market Area,Delhi,4160,4.86,3.9,1.23,18,t,f,9.3
90,Peaceful Retreat near Old Delhi,Vikas Singh,Old Delhi,Private room,1500,4,81,0.14,227,28.658033,77.237598,Dense/Chawl-type Area,Delhi,1350,4.37,4.6,0.35,5,f,f,7.5
91,Comfortable Home in Noida Sector 75,Megha Mehta,Noida Sector 75,Private room,1650,4,69,1.04,189,28.56888,77.396239,Developed Residential,Uttar Pradesh,1485,3.94,4.7,0.24,14,f,t,6.0
92,City Stay - Lajpat Nagar,Manish Gupta,Lajpat Nagar,Private room,1650,4,26,0.44,207,28.56824,77.24782,Market Area,Delhi,1485,4.66,4.7,0.27,20,f,f,8.6
93,Modern Stay near Dwarka,Shreya Singh,Dwarka,Private room,1400,1,39,1.33,262,28.59322,77.043321,Developed Residential,Delhi,1260,4.71,4.3,2.36,8,t,t,8.8
94,Premium Stay - Mehrauli,Shreya Yadav,Mehrauli,Private room,1600,1,4,0.91,239,28.521345,77.184714,Dense/Chawl-type Area,Delhi,1440,4.47,4.3,0.35,15,f,f,7.9
95,Premium Stay - Gurgaon DLF Phase 2,Priya Sharma,Gurgaon DLF Phase 2,Private room,1900,2,7,0.16,272,28.486731,77.103863,Market Area,Haryana,1710,4.73,3.7,0.26,20,f,f,8.8
96,Peaceful Retreat near Chattarpur,Amit Verma,Chattarpur,Hotel room,2400,7,10,0.12,362,28.505726,77.17646,Green & Peaceful,Delhi,3120,4.39,4.7,0.89,24,f,f,7.6
97,Private Room near Noida Sector 137,Ankit Malhotra,Noida Sector 137,Entire home/apt,1900,4,88,0.58,248,28.51676,77.408645,Developed Residential,Uttar Pradesh,3040,4.43,3.9,2.43,5,f,f,7.7
98,Budget Stay around Uttam Nagar,Varun Singh,Uttam Nagar,Entire home/apt,2050,2,47,0.59,133,28.623759,77.056415,Dense/Chawl-type Area,Delhi,3280,4.31,4.2,0.57,20,f,f,7.3
99,Budget Stay around Greater Kailash,Rohit Gupta,Greater Kailash,Private room,3000,1,17,0.29,5,28.555141,77.231438,Developed Residential,Delhi,2700,3.83,3.9,0.86,23,f,t,5.6
100,City Stay - Noida Sector 75,Amit Malhotra,Noida Sector 75,Private room,1550,1,19,2.09,202,28.566674,77.389161,Developed Residential,Uttar Pradesh,1395,3.93,3.7,0.25,13,f,f,6.0
101,Budget Stay around Connaught Place,Shreya Kumar,Connaught Place,Private room,2750,1,17,0.16,178,28.637433,77.22044,Market Area,Delhi,2475,3.84,4.4,0.92,13,f,t,5.6
102,Private Room near South Extension,Megha Agarwal,South Extension,Entire home/apt,4000,3,15,1.53,239,28.573971,77.223511,Market Area,Delhi,6400,4.56,3.6,1.23,13,f,t,8.2
103,City Stay - Connaught Place,Rahul Singh,Connaught Place,Private room,3550,2,37,1.46,223,28.625311,77.213524,Market Area,Delhi,3195,4.18,4.6,1.22,21,f,f,6.9
104,Family Home in Gurgaon DLF Phase 2,Pooja Sharma,Gurgaon DLF Phase 2,Private room,4000,3,29,0.14,258,28.478456,77.085988,Market Area,Haryana,3600,4.41,4.0,0.68,16,f,t,7.7
105,Bright Apartment in Noida Sector 75,Megha Sharma,Noida Sector 75,Private room,1450,1,94,0.53,304,28.567368,77.399685,Developed Residential,Uttar Pradesh,1305,4.89,3.5,0.65,17,t,t,9.4
106,Family Home in Noida Sector 75,Rohit Sharma,Noida Sector 75,Shared room,750,2,19,0.67,85,28.564247,77.391375,Developed Residential,Uttar Pradesh,375,4.1,4.3,0.34,12,f,f,6.6
107,Premium Stay - Gurgaon Cyber City,Varun Kapoor,Gurgaon Cyber City,Shared room,1700,7,17,0.43,316,28.49406,77.095374,Corporate/Developed Area,Haryana,850,4.29,3.6,0.75,20,f,f,7.3
108,Premium Stay - Dwarka,Ankit Sharma,Dwarka,Entire home/apt,2250,1,41,0.81,86,28.589294,77.048079,Developed Residential,Delhi,3600,4.71,3.9,0.33,22,t,t,8.7
109,Comfortable Home in Ghaziabad Vaishali,Neha Mishra,Ghaziabad Vaishali,Entire home/apt,2350,1,8,0.08,164,28.64397,77.342124,Market Area,Uttar Pradesh,3760,4.07,4.6,1.95,5,f,t,6.5
110,Modern Stay near Lajpat Nagar,Neha Bansal,Lajpat Nagar,Entire home/apt,3350,2,77,0.59,328,28.566146,77.242122,Market Area,Delhi,5360,3.89,3.6,4.27,5,f,t,5.8
111,Modern Stay near Chattarpur,Vikas Malhotra,Chattarpur,Entire home/apt,3150,1,33,0.77,197,28.502467,77.175056,Green & Peaceful,Delhi,5040,4.15,4.8,4.41,16,f,f,6.7
112,Family Home in Saket,Aditya Singh,Saket,Hotel room,3200,4,45,0.03,365,28.531049,77.200361,Developed Residential,Delhi,4160,3.99,3.5,2.6,10,f,t,6.2
113,Family Home in South Extension,Simran Sharma,South Extension,Private room,2250,4,114,0.85,252,28.568415,77.23172,Market Area,Delhi,2025,4.92,3.9,1.3,13,t,f,9.5
114,Family Home in Uttam Nagar,Neha Malhotra,Uttam Nagar,Private room,1000,7,34,0.15,268,28.633801,77.058122,Dense/Chawl-type Area,Delhi,900,4.77,4.6,1.65,9,t,t,9.0
115,Bright Apartment in Defence Colony,Aditya Kapoor,Defence Colony,Private room,2750,4,41,1.36,248,28.562491,77.225498,Green & Peaceful,Delhi,2475,4.56,4.0,0.6,20,f,t,8.2
116,Bright Apartment in Mahipalpur,Arjun Singh,Mahipalpur,Private room,1450,1,52,0.48,107,28.542222,77.12036,Dense/Chawl-type Area,Delhi,1305,4.85,3.7,1.4,22,t,f,9.2
117,Budget Stay around Paharganj,Vikas Kumar,Paharganj,Private room,1200,1,2,1.38,300,28.631305,77.208902,Dense/Chawl-type Area,Delhi,1080,4.76,4.0,0.93,21,f,t,9.0
118,City Stay - Noida Sector 75,Rahul Agarwal,Noida Sector 75,Private room,1450,1,31,1.23,31,28.576306,77.392383,Developed Residential,Uttar Pradesh,1305,4.02,3.9,0.99,22,f,f,6.3
119,Modern Stay near Noida Sector 18,Shreya Chauhan,Noida Sector 18,Private room,2200,1,40,0.21,178,28.565577,77.320094,Market Area,Uttar Pradesh,1980,4.87,4.8,1.9,5,t,t,9.3
120,Family Home in Mehrauli,Amit Mehta,Mehrauli,Private room,1150,2,44,0.25,54,28.5278,77.17969,Dense/Chawl-type Area,Delhi,1035,4.45,4.0,0.6,23,f,f,7.8
121,Modern Stay near Lajpat Nagar,Aditya Verma,Lajpat Nagar,Private room,1700,2,41,0.43,257,28.564226,77.243682,Market Area,Delhi,1530,4.77,4.7,0.66,12,t,f,9.0
122,Premium Stay - Uttam Nagar,Megha Singh,Uttam Nagar,Hotel room,1750,5,43,0.65,81,28.616537,77.060843,Dense/Chawl-type Area,Delhi,2275,4.88,4.8,3.3,7,t,t,9.4
123,Bright Apartment in Gurgaon DLF Phase 2,Arjun Gupta,Gurgaon DLF Phase 2,Entire home/apt,3900,2,78,0.19,365,28.483146,77.091591,Market Area,Haryana,6240,4.18,4.2,0.27,9,f,t,6.9
124,Peaceful Retreat near Noida Sector 75,Neha Jain,Noida Sector 75,Entire home/apt,2950,2,97,1.24,44,28.563178,77.398835,Developed Residential,Uttar Pradesh,4720,3.93,4.9,1.0,12,f,t,6.0
125,Comfortable Home in Karol Bagh,Sanjay Kumar,Karol Bagh,Private room,1800,1,98,0.25,108,28.647881,77.189515,Market Area,Delhi,1620,4.07,4.1,3.13,23,f,f,6.5
126,Premium Stay - Dwarka,Shreya Mishra,Dwarka,Entire home/apt,2450,2,54,0.63,365,28.599466,77.038742,Developed Residential,Delhi,3920,4.31,4.9,1.33,22,f,f,7.3
127,Premium Stay - Faridabad Sector 15,Karan Bansal,Faridabad Sector 15,Private room,1600,2,44,0.68,212,28.402956,77.321576,Developed Residential,Haryana,1440,4.78,3.6,1.15,22,t,f,9.0
128,Premium Stay - Dwarka,Amit Agarwal,Dwarka,Entire home/apt,3450,1,24,0.27,71,28.599379,77.04685,Developed Residential,Delhi,5520,4.83,4.5,0.54,5,f,f,9.2
129,Modern Stay near Dwarka,Karan Jain,Dwarka,Private room,1800,1,24,0.76,295,28.585676,77.040662,Developed Residential,Delhi,1620,3.81,4.2,0.7,19,f,t,5.5
130,Modern Stay near Paharganj,Rahul Kumar,Paharganj,Entire home/apt,2200,1,55,1.84,97,28.644764,77.218031,Dense/Chawl-type Area,Delhi,3520,4.41,4.1,2.49,22,f,t,7.7
131,Premium Stay - Faridabad Sector 15,Priya Saini,Faridabad Sector 15,Private room,1250,1,29,0.55,235,28.405857,77.316382,Developed Residential,Haryana,1125,4.3,4.4,1.18,11,f,t,7.3
132,City Stay - Karol Bagh,Rahul Kumar,Karol Bagh,Entire home/apt,2150,7,81,0.36,223,28.65125,77.195607,Market Area,Delhi,3440,4.07,4.6,1.07,20,f,t,6.5
133,Bright Apartment in Vikaspuri,Simran Singh,Vikaspuri,Private room,1450,1,8,0.25,187,28.641047,77.070324,Developed Residential,Delhi,1305,3.94,3.5,0.33,20,f,t,6.0
134,City Stay - Karol Bagh,Pooja Agarwal,Karol Bagh,Entire home/apt,1600,1,40,0.67,83,28.650119,77.199644,Market Area,Delhi,2560,4.21,3.8,0.22,19,f,f,7.0
135,City Stay - Green Park,Deepak Mehta,Green Park,Hotel room,3350,14,24,0.25,176,28.559594,77.201628,Green & Peaceful,Delhi,4355,4.93,4.6,4.18,10,f,f,9.6
